code_nied,code_jma,name,kana,lat,lng,depth_m
N.NAE01,61071,高知沖６０ｋｍＢ,こうちおき６０ｋｍＢ,32.7687,134.2661,1563
N.NAE02,61051,高知沖９０ｋｍＡ,こうちおき９０ｋｍＡ,32.4154,134.3346,2598
N.NAE03,96111,高知沖１２０ｋｍＡ,こうちおき１２０ｋｍＡ,32.1712,134.274,3920
N.NAE04,96112,高知沖１２０ｋｍＢ,こうちおき１２０ｋｍＢ,32.0348,133.9599,3691
N.NAE05,96113,高知沖１２０ｋｍＣ,こうちおき１２０ｋｍＣ,31.7849,133.6553,4294
N.NAE06,96120,高知沖１３０ｋｍＡ,こうちおき１３０ｋｍＡ,31.5924,133.3376,4556
N.NAE07,96121,高知沖１４０ｋｍＡ,こうちおき１４０ｋｍＡ,31.5061,133.1083,3286
N.NAE08,97620,宮崎沖１３０ｋｍＡ,みやざきおき１３０ｋｍＡ,31.288,132.7613,3280
N.NAE09,97600,宮崎沖１００ｋｍＡ,みやざきおき１００ｋｍＡ,31.1387,132.324,1815
N.NAE10,76070,宮崎沖６０ｋｍＡ,みやざきおき６０ｋｍＡ,31.1019,131.913,1399
N.NAE11,76071,宮崎沖６０ｋｍＢ,みやざきおき６０ｋｍＢ,31.3942,132.0465,1189
N.NAE12,76050,宮崎沖９０ｋｍＡ,みやざきおき９０ｋｍＡ,31.5881,132.4506,2278
N.NAE13,96110,高知沖１１０ｋｍＡ,こうちおき１１０ｋｍＡ,31.7433,132.8114,2360
N.NAE14,61064,高知沖８０ｋｍＢ,こうちおき８０ｋｍＢ,31.9701,133.0367,2014
N.NAE15,61072,高知沖６０ｋｍＣ,こうちおき６０ｋｍＣ,32.1818,132.7916,1380
N.NAE16,61052,高知沖９０ｋｍＢ,こうちおき９０ｋｍＢ,31.9429,132.5561,1812
N.NAE17,76051,宮崎沖９０ｋｍＢ,みやざきおき９０ｋｍＢ,31.7484,132.4602,2403
N.NAE18,76080,宮崎沖４０ｋｍＡ,みやざきおき４０ｋｍＡ,31.3256,131.7281,845
N.NBE01,61095,高知室戸岬東方沖,こうちむろとみさきとうほうおき,33.277,134.331,1174
N.NBE02,61080,高知沖３０ｋｍＡ,こうちおき３０ｋｍＡ,33.0371,134.2809,860
N.NBE03,61073,高知沖５０ｋｍＡ,こうちおき５０ｋｍＡ,32.8219,134.0795,880
N.NBE04,61074,高知沖５０ｋｍＢ,こうちおき５０ｋｍＢ,32.9192,133.6611,1020
N.NBE05,61065,高知沖７０ｋｍＤ,こうちおき７０ｋｍＤ,32.5604,133.7211,974
N.NBE06,61053,高知沖９０ｋｍＣ,こうちおき９０ｋｍＣ,32.4456,134.0502,1831
N.NBE07,96100,高知沖１００ｋｍＢ,こうちおき１００ｋｍＢ,32.2196,133.956,2463
N.NBE08,61054,高知沖９０ｋｍＤ,こうちおき９０ｋｍＤ,32.1551,133.7177,2125
N.NBE09,61055,高知沖９０ｋｍＥ,こうちおき９０ｋｍＥ,31.9977,133.3759,1960
N.NBE10,61066,高知沖７０ｋｍＥ,こうちおき７０ｋｍＥ,32.149,133.2199,1299
N.NBE11,61075,高知沖５０ｋｍＣ,こうちおき５０ｋｍＣ,32.4758,133.4332,989
N.NBE12,61081,高知沖４０ｋｍＡ,こうちおき４０ｋｍＡ,32.3797,133.1779,1080
N.NBE13,61076,高知沖５０ｋｍＤ,こうちおき５０ｋｍＤ,32.3314,132.8255,1100
N.NBE14,61082,高知沖３０ｋｍＢ,こうちおき３０ｋｍＢ,32.452,132.5221,1488
N.NBE15,76072,宮崎沖５０ｋｍＡ,みやざきおき５０ｋｍＡ,32.3444,132.2392,1547
N.NBE16,76073,宮崎沖６０ｋｍＣ,みやざきおき６０ｋｍＣ,31.9702,132.1595,1575
N.NBE17,76074,宮崎沖６０ｋｍＤ,みやざきおき６０ｋｍＤ,31.7707,132.0585,1326
N.NBE18,76081,宮崎沖３０ｋｍＡ,みやざきおき３０ｋｍＡ,31.6569,131.7726,471
